date,state,category,commodity,pricetype,currency,year,price,CPI,month,msp_year,Year,MSP_Wheat,year_month,Date,Diesel Price,Wheat Price (Indian Rupee per Metric Ton),Diesel ROC,Wheat ROC,Diesel / Wheat Price Ratio,date_x,Rainfall,ANNUAL,JF,MAM,JJAS,OND,index,0
1994-01-15,delhi,cereals and tubers,Wheat,Retail,INR,1994,5.0,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,20.1,564.4,31.4,16.7,515.9,0.3,,
1994-01-15,gujarat,cereals and tubers,Wheat,Retail,INR,1994,6.2,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,7.2,1534.5,7.2,0.2,1525.1,2.1,,
1994-01-15,karnataka,cereals and tubers,Wheat,Retail,INR,1994,7.0,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,,,,,,,,
1994-01-15,madhya pradesh,cereals and tubers,Wheat,Retail,INR,1994,4.5,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,,,,,,,,
1994-01-15,maharashtra,cereals and tubers,Wheat,Retail,INR,1994,8.0,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,3.1,1021.5,3.2,46.2,893.4,78.8,,
1994-01-15,orissa,cereals and tubers,Wheat,Retail,INR,1994,5.0,10.25,jan,1993,1993-94,350,1994-01,,,,,,,1994-01-15,4.1,1744.6,32.6,100.6,1529.9,81.5,,
1994-02-15,delhi,cereals and tubers,Wheat,Retail,INR,1994,5.2,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,11.3,564.4,31.4,16.7,515.9,0.3,,
1994-02-15,gujarat,cereals and tubers,Wheat,Retail,INR,1994,6.0,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,0.0,1534.5,7.2,0.2,1525.1,2.1,,
1994-02-15,madhya pradesh,cereals and tubers,Wheat,Retail,INR,1994,4.6,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,,,,,,,,
1994-02-15,maharashtra,cereals and tubers,Wheat,Retail,INR,1994,8.0,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,0.1,1021.5,3.2,46.2,893.4,78.8,,
1994-02-15,orissa,cereals and tubers,Wheat,Retail,INR,1994,5.0,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,28.6,1744.6,32.6,100.6,1529.9,81.5,,
1994-02-15,rajasthan,cereals and tubers,Wheat,Retail,INR,1994,5.25,10.25,feb,1993,1993-94,350,1994-02,,,,,,,1994-02-15,,,,,,,,
1994-03-15,delhi,cereals and tubers,Wheat,Retail,INR,1994,5.0,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,0.6,564.4,31.4,16.7,515.9,0.3,,
1994-03-15,gujarat,cereals and tubers,Wheat,Retail,INR,1994,6.5,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,0.0,1534.5,7.2,0.2,1525.1,2.1,,
1994-03-15,karnataka,cereals and tubers,Wheat,Retail,INR,1994,6.5,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,,,,,,,,
1994-03-15,kerala,cereals and tubers,Wheat,Retail,INR,1994,10.0,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,18.1,3410.8,51.4,313.9,2493.0,552.5,,
1994-03-15,maharashtra,cereals and tubers,Wheat,Retail,INR,1994,8.0,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,0.6,1021.5,3.2,46.2,893.4,78.8,,
1994-03-15,meghalaya,cereals and tubers,Wheat,Retail,INR,1994,5.0,10.25,mar,1994,1994-95,360,1994-03,,,,,,,1994-03-15,157.2,2121.3,69.1,600.5,1273.4,178.3,,
